id,product_name,category,daily_sales,current_stock,price,trend
53,Extension Cord 2m,Hardware,25,80,8.50,-4%
54,Super Glue 2pk,Hardware,40,200,2.99,Stable
55,Duct Tape Silver,Hardware,55,150,4.50,+2%
56,Cat Food Dry 2kg,Pet Supplies,85,200,12.50,+8%
57,Dog Food Canned 400g,Pet Supplies,110,350,2.20,+15%
58,Cat Litter 5kg,Pet Supplies,65,140,8.99,+5%
59,Dog Chew Toy,Pet Supplies,30,100,6.50,-2%
60,Pet Flea Shampoo,Pet Supplies,15,50,9.99,-10%
61,Avocado Hass,Produce,250,400,1.50,+35%
62,Bananas 1kg,Produce,400,600,2.20,+10%
63,Apples Gala 1kg,Produce,300,500,3.50,Stable
64,Organic Carrots 1kg,Produce,150,300,2.80,+12%
65,Fresh Spinach Bunch,Produce,90,150,1.99,-5%
66,White Potatoes 2kg,Produce,200,450,3.99,+8%
67,Red Onions 1kg,Produce,180,400,2.50,Stable
68,Garlic Bulbs 3pk,Produce,120,350,1.80,+4%
69,Fresh Tomatoes 1kg,Produce,280,400,3.99,+20%
70,Cucumber,Produce,160,300,0.99,+15%
71,Chicken Breast 500g,Meat & Poultry,140,250,7.99,+25%
72,Ground Beef 500g,Meat & Poultry,180,300,8.50,+12%
73,Pork Chops 400g,Meat & Poultry,90,150,6.99,-8%
74,Fresh Salmon Fllet 300g,Seafood,60,100,12.99,+5%
75,Frozen Shrimp 500g,Seafood,45,120,15.50,+2%
76,Frozen Sweet Corn,Frozen,110,350,2.99,Stable
77,Frozen Mixed Berries,Frozen,85,200,4.99,+18%
78,Frozen Pizza Margherita,Frozen,150,400,5.50,+22%
79,Vanilla Ice Cream 1L,Frozen,220,500,4.99,+40%
80,Frozen Beef Burgers 4pk,Frozen,90,250,7.50,+10%
81,Skim Milk 1L,Dairy,110,300,3.50,-5%
82,Soy Milk 1L,Dairy Alternatives,85,200,4.50,+15%
83,Almond Milk 1L,Dairy Alternatives,140,350,4.99,+28%
84,Oat Milk 1L,Dairy Alternatives,160,400,5.20,+35%
85,Vegan Cheese Slices,Dairy Alternatives,40,100,6.50,+12%
86,Multigrain Bread,Bakery,130,180,3.50,+8%
87,Croissants 4pk,Bakery,95,120,4.50,-4%
88,Chocolate Muffins 2pk,Bakery,110,150,3.00,+15%
89,Bagels 6pk,Bakery,140,250,3.99,+10%
90,Hot Dog Buns 8pk,Bakery,80,200,2.50,-15%
91,Bottled Water 1.5L,Beverages,350,800,0.99,+45%
92,Sports Drink Isotonic,Beverages,180,400,2.20,+30%
93,Kombucha Raspberry,Beverages,60,150,3.99,+22%
94,Apple Juice 1L,Beverages,120,250,3.50,Stable
95,Iced Tea Lemon 1.5L,Beverages,150,300,2.99,+18%
96,Potato Chips Salt & Vinegar,Snacks,145,350,2.50,+8%
97,Popcorn Microwave 3pk,Snacks,90,200,3.99,+12%
98,Dark Chocolate 70%,Candy,85,250,3.50,+5%
99,Chewing Gum Peppermint,Candy,210,600,1.20,Stable
100,Cotton Swabs 200s,Personal Care,80,300,2.50,-2%
